source_requirement_id,relation_type,target_requirement_id,reason,primary_source_file,primary_source_line,primary_source_format,all_source_files,source_occurrence_count
REQ-ACCESS-001,CONCEPT,REQ-NFR-001,子ども用の主要操作をスマートフォン縦向きで利用可能にするには、スマートフォンを主要利用端末とする非機能要求を前提とする。,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,67,ARROW,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,1
REQ-ACCESS-001,FUNCTION,REQ-PLAYER-001,縦向き画面で利用可能にすべき主要学習操作を定めるには、問題表示、回答表示、判定、次問題への移動という基本的な学習操作が定義されている必要がある。,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,69,ARROW,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,1
REQ-ACCESS-002,PRESENTATION,REQ-ACCESS-001,画面要素を表示領域内へ収める要求は、スマートフォン縦向きを主要な表示条件として扱う要求を前提とする。,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,71,ARROW,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,1
REQ-ACCESS-002,PRESENTATION,REQ-MEDIA-008,画面内に収める対象のうち画像については、スマートフォン画面からはみ出さない表示要求を前提とする。,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,75,ARROW,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,1
REQ-ACCESS-002,PRESENTATION,REQ-PLAYER-004,問題文、画像、表、グラフを画面サイズへ合わせるには、各種問題内容を画面幅に合わせて表示する機能が定義されている必要がある。,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,73,ARROW,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,1
REQ-ACCESS-003,PRESENTATION,REQ-ACCESS-002,文字、ボタン、入力欄を適切な大きさで表示するには、それらが表示領域内に収まるレスポンシブ配置が成立している必要がある。,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,77,ARROW,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,1
REQ-ACCESS-003,PRESENTATION,REQ-PLAYER-002,学習画面の主要判定ボタンについて、スマートフォンで押しやすい大きさと配置が定義されている必要がある。,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,79,ARROW,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,1
REQ-ACCESS-004,PRESENTATION,REQ-MOTIVATION-006,内部状態や判定結果を文字・記号で示すには、内部名称と子ども向け表示名を分離できる必要がある。,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,83,ARROW,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,1
REQ-ACCESS-004,PRESENTATION,REQ-STATUS-001,重要な状態を色以外でも識別可能にするには、問題や教材などの状態を明示的に管理できる必要がある。,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,81,ARROW,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,1
REQ-ACCESS-005,DATA,REQ-MEDIA-006,画像に代替テキストを持たせるには、画像へ代替テキストを設定できる必要がある。,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,85,ARROW,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,1
REQ-ACCESS-005,FUNCTION,REQ-ASSET-004,画像を取得または表示できない場合にも状況を伝えるには、アセット表示失敗時に欠落と代替テキストを表示できる必要がある。,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,87,ARROW,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,1
REQ-ACCESS-006,FUNCTION,REQ-ADMIN-007,主要な管理操作をキーボードでも実行可能にするには、管理画面で実行する保守操作が定義されている必要がある。,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,93,ARROW,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,1
REQ-ACCESS-006,FUNCTION,REQ-PLAYER-001,主要な学習操作をキーボードでも実行可能にするには、基本的な学習操作の流れが定義されている必要がある。,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,91,ARROW,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,1
REQ-ACCESS-006,STRUCTURE,REQ-UI-001,キーボード対応すべき学習操作と管理操作を特定するには、主要機能が学習・印刷・進捗・管理の領域へ整理されている必要がある。,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,89,ARROW,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,1
REQ-ACCESS-007,DATA,REQ-AUDIO-002,音声問題へ文字起こしまたは代替情報を提示するには、音声へ文字起こしを関連付けられる必要がある。,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,95,ARROW,requirements_screen_interaction_progress_d1_dependency_integrated_v0_1.md,1
