review_target_id,target_kind,primary_domain,secondary_domain,requirement_id_1,requirement_id_2,requirement_text_1,requirement_text_2,release_1,release_2,primary_type_1,primary_type_2,candidate_types,missing_legacy_ids,source_details,review_status,decision,decision_reason,inventory_change_required,source_domain,source_file
RVIEW-001,PAIR,A,A,REQ-CATALOG-003,REQ-CATALOG-004,学校教科カタログを、 少なくとも教科、学年、単元、学習項目の階層で管理できること。,検定カタログを、 少なくとも検定種別、級、試験区分、分野、 出題形式、学習項目の階層で管理できること。,初期リリース必須,初期リリース必須,DATA,DATA,SIMILARITY_SAME_PREFIX,,requirements_similarity_candidates_v0_1.txt block=6 similarity=0.460 prefix=CATALOG,REVIEWED,KEEP_SEPARATE,学校教科と外部検定では必要な階層要素が異なる。共通カタログ基盤上の別構造として両要求を維持する。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
RVIEW-002,PAIR,A,A,REQ-CATALOG-DIMENSION-003,REQ-CATALOG-REF-003,1つの問題へ、 複数の学習内容、技能、問題形式上の特徴を 関連付けられること。,1つのカタログ項目へ、 複数の問題を関連付けられること。,初期リリース必須,初期リリース必須,DATA,DATA,SIMILARITY_CROSS_PREFIX,,requirements_cross_prefix_similarity_candidates_v0_1.txt block=14 similarity=0.410,REVIEWED,KEEP_SEPARATE,問題から複数の分類軸へ関連付ける要求と、1つのカタログ項目から複数問題を参照する要求であり、関係の意味と基数方向が異なる。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
RVIEW-003,PAIR,A,B,REQ-CATALOG-DIMENSION-003,REQ-VISUAL-002,1つの問題へ、 複数の学習内容、技能、問題形式上の特徴を 関連付けられること。,1つの問題へ、 複数の表示資料を関連付けられること。,初期リリース必須,初期リリース必須,DATA,DATA,SIMILARITY_CROSS_PREFIX,,requirements_cross_prefix_similarity_candidates_v0_1.txt block=7 similarity=0.472,REVIEWED,KEEP_SEPARATE,学習内容・技能・問題形式との関連付けと、表示資料との関連付けは異なるデータ関係である。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
RVIEW-004,PAIR,A,A,REQ-CATALOG-PATH-001,REQ-CATALOG-PATH-004,学習内容について、 前学年、下位級、または既習範囲との 前提関係を表現できること。,学習内容から、 次学年、上位級、または後続単元への 接続関係を表現できること。,初期リリース必須,初期リリース必須,DATA,DATA,SIMILARITY_SAME_PREFIX,,requirements_similarity_candidates_v0_1.txt block=21 similarity=0.347 prefix=CATALOG-PATH,REVIEWED,KEEP_SEPARATE,前提となる学習内容への関係と、後続する学習内容への接続関係は方向と利用目的が異なる。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
RVIEW-005,PAIR,A,A,REQ-CATALOG-PATH-002,REQ-CATALOG-PATH-003,学年または級ごとに、 その段階で新しく追加される学習内容を 識別できること。,学年または級ごとに、 その段階で特に重視される知識・技能・問題形式を 識別できること。,初期リリース必須,初期リリース必須,DATA,DATA,SIMILARITY_SAME_PREFIX,,requirements_similarity_candidates_v0_1.txt block=5 similarity=0.468 prefix=CATALOG-PATH,REVIEWED,KEEP_SEPARATE,その段階で新規に追加される内容と、その段階で重点化される既習内容・技能・形式は同一ではない。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
RVIEW-006,PAIR,A,A,REQ-CATALOG-REF-001,REQ-CATALOG-REF-003,各問題を、 1つ以上のカタログ項目へ関連付けられること。,1つのカタログ項目へ、 複数の問題を関連付けられること。,初期リリース必須,初期リリース必須,DATA,DATA,SIMILARITY_SAME_PREFIX,,requirements_similarity_candidates_v0_1.txt block=2 similarity=0.600 prefix=CATALOG-REF,REVIEWED,KEEP_SEPARATE,各問題が最低1項目へ関連付く制約と、1項目に複数問題を関連付けられる基数要件は別の制約である。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
RVIEW-007,PAIR,A,A,REQ-CATALOG-REF-002,REQ-CATALOG-REF-003,1つの問題を、 複数の学校教科・検定・学習項目へ 関連付けられること。 例: - 学校数学と数検 - 学校英語と英検 - 学校国語と漢検,1つのカタログ項目へ、 複数の問題を関連付けられること。,初期リリース必須,初期リリース必須,DATA,DATA,SIMILARITY_SAME_PREFIX,,requirements_similarity_candidates_v0_1.txt block=27 similarity=0.327 prefix=CATALOG-REF,REVIEWED,KEEP_SEPARATE,1問題から複数カタログ項目への関連と、1カタログ項目から複数問題への関連は多対多関係の異なる方向を規定する。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
RVIEW-008,PAIR,A,B,REQ-CATALOG-REF-003,REQ-VISUAL-002,1つのカタログ項目へ、 複数の問題を関連付けられること。,1つの問題へ、 複数の表示資料を関連付けられること。,初期リリース必須,初期リリース必須,DATA,DATA,SIMILARITY_CROSS_PREFIX,,requirements_cross_prefix_similarity_candidates_v0_1.txt block=4 similarity=0.533,REVIEWED,KEEP_SEPARATE,カタログ項目と問題の関連付けと、問題と表示資料の関連付けは対象エンティティも用途も異なる。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
RVIEW-009,PAIR,A,H,REQ-CATALOG-REF-005,REQ-REFERENCE-001,問題が参照するカタログ項目は、 登録済みかつ有効な項目であること。,問題集が参照する問題は、 登録済みかつ参照可能な問題であること。,初期リリース必須,初期リリース必須,RULE,RULE,SIMILARITY_CROSS_PREFIX,,requirements_cross_prefix_similarity_candidates_v0_1.txt block=19 similarity=0.395,REVIEWED,KEEP_SEPARATE,問題が参照するカタログ項目の整合性と、問題集が参照する問題の整合性は異なる参照境界である。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
RVIEW-010,PAIR,A,D,REQ-CONTENT-002,REQ-PURPOSE-002,同一の問題を複数の学習用途から利用できること。 利用例: - 単元別学習 - 定期テスト対策 - 弱点復習 - 検定対策 問題集へ問題を複製する方式を前提としない。,1つの問題を、 複数の目的別問題集から再利用できること。,初期リリース必須,初期リリース必須,RULE,RULE,CONTRADICTION,,requirements_contradiction_candidates_v0_1.txt block=13 similarity=0.212,REVIEWED,KEEP_SEPARATE,複数用途から同一問題を再利用する全体原則と、目的別問題集での具体的な再利用要件の関係であり、矛盾しない。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
RVIEW-011,PAIR,A,B,REQ-CONTENT-002,REQ-TAG-005,同一の問題を複数の学習用途から利用できること。 利用例: - 単元別学習 - 定期テスト対策 - 弱点復習 - 検定対策 問題集へ問題を複製する方式を前提としない。,問題へ、定期テスト、検定対策、弱点補強、復習などの利用目的を示す属性を設定できること。 目的別問題集への所属そのものとは分離する。,初期リリース必須,初期リリース後,RULE,DATA,CONTRADICTION,,requirements_contradiction_candidates_v0_1.txt block=15 similarity=0.204,REVIEWED,KEEP_SEPARATE,問題の再利用方式を定める原則と、利用目的を示す属性の管理は別責務であり、目的別問題集への所属とも分離されている。,NO,A,full_rebuild_detailed_requirement_review_domain_a_decisions_v0_1.csv
