requirement_id,section_number,section_title,release,primary_domain,summary,primary_type,secondary_types,automatic_primary_type,primary_type_changed,classification_reason
REQ-SCOPE-001,2,利用目的・対象範囲,初期リリース必須,A,Junior Study Trainer は、 中学生の反復学習を支援するWebアプリとして提供する。,SCOPE,,SCOPE,no,中学生の反復学習を支援するWebアプリという製品対象を定義する
REQ-SCOPE-002,2,利用目的・対象範囲,初期リリース必須,A,利用者が書くことの難しい場面でも学習できること。 想定場面: - 移動中 - 車内 - スピンバイクなどの運動中 - 短時間の家庭学習,SCOPE,QUAL,SCOPE,no,移動中・運動中・短時間学習など書くことが難しい利用場面を対象とする
REQ-SCOPE-003,2,利用目的・対象範囲,初期リリース必須,A,机に向かう学習にも利用できること。 想定用途: - 書き取り - 記述 - 復習 - 印刷教材を使った学習,SCOPE,FUNC,SCOPE,no,書き取り・記述・印刷教材など机上学習も対象に含める
REQ-SCOPE-004,2,利用目的・対象範囲,初期リリース必須,A,学校教科と外部検定を、 同一のアプリ基盤で管理・学習できること。 初期対象候補: - 国語 - 数学 - 理科 - 社会 - 英語 - 漢検 - 英検 - 数検 すべての教材を初期リリース時に登録することまでは必須としない。,FUNC,"SCOPE,DATA",SCOPE,yes,学校教科と外部検定を同一アプリ基盤で管理・学習する機能
REQ-SCOPE-005,2,利用目的・対象範囲,初期リリース必須,A,学校教科や検定の既存教材を再利用し、 目的に応じた学習を提供できること。 初期対象: - 苦手克服 - 定期テスト対策,SCOPE,FUNC,SCOPE,no,既存教材を再利用した苦手克服・定期テスト対策を初期用途とする
REQ-SCOPE-006,2,利用目的・対象範囲,初期リリース必須,A,アプリ本体を特定教科、特定検定、特定教材専用にしないこと。 教材ごとの差異は、 教材・問題・分類・問題形式などのデータで表現する。,QUAL,"RULE,DATA,SCOPE",SCOPE,yes,アプリ本体を特定教科・検定・教材専用にせず差異をデータで表現する汎用性要件
REQ-SCOPE-007,2,利用目的・対象範囲,初期リリース後,A,学校教科や検定に直接分類しにくい拡張教材を扱えること。 対象例: - 親子学習 - スポーツ・生活習慣関連,SCOPE,DATA,SCOPE,no,親子学習・スポーツ・生活習慣など教科・検定外の拡張教材を対象に含める
REQ-CONTENT-001,3,学習内容モデル,初期リリース必須,A,問題を、採点と進捗記録が可能な再利用単位として管理すること。,DATA,RULE,DATA,no,問題を採点・進捗記録可能な再利用単位として保持するデータ要件
REQ-CONTENT-002,3,学習内容モデル,初期リリース必須,A,同一の問題を複数の学習用途から利用できること。 利用例: - 単元別学習 - 定期テスト対策 - 弱点復習 - 検定対策 問題集へ問題を複製する方式を前提としない。,RULE,"DATA,FUNC",DATA,yes,同一問題を複製せず複数の学習用途から再利用可能にする構造原則
REQ-CONTENT-003,3,学習内容モデル,初期リリース必須,A,次の概念を分離して管理すること。 - 学習内容の分類 - 問題 - 問題集 - 問題の出典 - 教科書ページなどの範囲情報 - 学習履歴・進捗,RULE,DATA,DATA,yes,分類・問題・問題集・出典・範囲・履歴を別概念として管理する原則
REQ-CONTENT-004,3,学習内容モデル,初期リリース必須,A,学習分類は問題が扱う内容を表し、 問題集は利用目的に応じた問題の集合を表すこと。,RULE,DATA,DATA,yes,学習分類と問題集の役割を明確に区別する概念規則
REQ-CONTENT-005,3,学習内容モデル,初期リリース必須,A,出典教材の章・節・項などの構造と、 学習者向けの意味的な学習構造を分離すること。,RULE,DATA,DATA,yes,出典教材構造と学習者向け意味構造を分離する分類原則
